Module,Session Title,Learning Objectives,Instructor,Pre-Read,Lecture Scripts,Mental Map,Coding Question
Module 1: Analytics Foundations + GenAI + Spreadsheets,Statistics: Understanding Data and Averages,Numerical vs categorical data and how analysts use each;Mean; median; and mode to summarize business metrics like sales and ratings;Why outliers distort the mean and when median is a more honest business number;Range as a quick measure of how spread out performance is,Professor,,,,
Module 1: Analytics Foundations + GenAI + Spreadsheets,"Analytics Workflow, Metrics & KPIs",Understand what an analytics workflow is; List the steps in an analytics workflow (problem → data → analysis → insight); Break down a business problem into smaller questions; Map a simple problem to each step of the analytics workflow; Understand what metrics and KPIs are; Identify metrics for simple business scenarios; Differentiate between a metric and a KPI; Convert a business question into a measurable KPI,Industry Mentor,,,,
Module 1: Analytics Foundations + GenAI + Spreadsheets,"GenAI for Analytics: Prompt, Check, Improve","Understand what GenAI is in the context of analytics; Identify where GenAI can be used in an analytics workflow; Write basic prompts for simple analytics tasks; Use simple prompting patterns (clear instruction, expected output format); Generate structured outputs (tables, lists) using prompts; Interpret outputs generated by GenAI; Identify incorrect or low-quality GenAI outputs; Apply simple validation checks to verify outputs",Industry Mentor,,,,
Module 1: Analytics Foundations + GenAI + Spreadsheets,Clean Up the Data,"Load datasets into spreadsheets (Excel/Sheets); Identify common data issues (missing values, duplicates, formatting issues); Clean datasets by removing duplicates and fixing formats; Sort and filter data to inspect it",Industry Mentor,,,,
Module 1: Analytics Foundations + GenAI + Spreadsheets,Make Data Ready for Analysis,"Structure datasets into consistent formats (columns, data types); Fix inconsistent entries (text, numbers, dates); Validate cleaned data using simple checks; Prepare a clean dataset ready for analysis",Industry Mentor,,,,
Module 1: Analytics Foundations + GenAI + Spreadsheets,Formulas for Analysis,"Use basic spreadsheet formulas (SUM, AVERAGE, COUNT); Apply formulas across rows and columns; Create new columns using formulas; Perform simple descriptive analysis using formulas",Industry Mentor,,,,
Module 1: Analytics Foundations + GenAI + Spreadsheets,Pivot Tables and Quick Insights,Create pivot tables from datasets; Use pivot tables to summarize data; Compare categories using pivot tables; Extract simple insights from pivot outputs,Industry Mentor,,,,
Module 2: SQL for Data Analysis,Statistics: Spread; Variability and Outliers,Why two datasets with the same average can behave very differently;Range; variance; and standard deviation to assess consistency and risk;Identifying outliers and how they affect business conclusions;Variability as a signal of reliability in performance data,Professor,,,,
Module 2: SQL for Data Analysis,SQL Query Basics,Understand how data is stored in tables (rows and columns); Write basic SELECT queries; Select specific columns from a table; Filter data using WHERE conditions,Industry Mentor,,,,
Module 2: SQL for Data Analysis,Sorting and Filtering in SQL,Sort data using ORDER BY; Combine filtering and sorting in one query; Retrieve specific subsets of data; Write simple readable SQL queries,Industry Mentor,,,,
Module 2: SQL for Data Analysis,Aggregation Essentials,"Use aggregation functions (SUM, COUNT, AVG); Calculate totals and averages from data; Understand how aggregation works on datasets",Industry Mentor,,,,
Module 2: SQL for Data Analysis,Grouping for KPIs,Group data using GROUP BY; Compute KPIs using grouped data; Compare grouped results across categories; Interpret aggregated outputs,Industry Mentor,,,,
Module 2: SQL for Data Analysis,Joining Tables Together,Understand why joins are needed; Identify common columns between tables; Combine tables using JOIN; View combined data from multiple tables,Industry Mentor,,,,
Module 2: SQL for Data Analysis,Insights from Combined Data,Analyze data after joining tables; Compare values across tables; Identify patterns in combined datasets; Extract insights from joined data,Industry Mentor,,,,
Module 2: SQL for Data Analysis,Subqueries in Action,Write subqueries inside SQL queries; Use subqueries to filter data; Break complex queries into smaller steps,Industry Mentor,,,,
Module 2: SQL for Data Analysis,CTEs and GenAI for SQL,Write queries using CTEs; Structure complex queries for better readability; Use GenAI to generate SQL queries; Validate query outputs for correctness,Industry Mentor,,,,
Module 3: Tableau Dashboards + Storytelling,Statistics: Probability and Uncertainty,Probability scale from 0 to 1 and expressing it as a percentage;Likelihood of business events such as a customer purchasing or churning;Simple probability calculations like conversion rate and click-through rate;Why probability is not certainty and how to communicate that to stakeholders,Professor,,,,
Module 3: Tableau Dashboards + Storytelling,Tableau Basics and First Charts,"Understand the Tableau interface; Load data into Tableau; Create basic charts (bar, line); Map fields to axes and visuals",Industry Mentor,,,,
Module 3: Tableau Dashboards + Storytelling,Choosing the Right Chart,Create different types of charts; Choose the right chart for the data; Compare multiple chart types for the same dataset; Improve chart readability using labels and formatting,Industry Mentor,,,,
Module 3: Tableau Dashboards + Storytelling,Building a Dashboard,Create a dashboard in Tableau; Add multiple charts to a dashboard; Arrange charts within a dashboard layout,Industry Mentor,,,,
Module 3: Tableau Dashboards + Storytelling,KPIs and Trends on One View,Add KPIs to dashboards; Show trends using visualizations; Compare segments within dashboards; Use dashboards to support analysis,Industry Mentor,,,,
Module 3: Tableau Dashboards + Storytelling,Dashboard Design Basics,"Apply design principles to dashboards (clarity, layout); Reduce clutter in dashboards; Organize visuals for better readability",Industry Mentor,,,,
Module 3: Tableau Dashboards + Storytelling,Dashboards That Support Decisions,Improve dashboards for decision-making; Highlight key insights visually; Align visuals to tell a clear story; Review dashboards for clarity and usefulness,Industry Mentor,,,,
Module 3: Tableau Dashboards + Storytelling,Reading Dashboards for Insight,Read and interpret dashboard outputs; Identify trends and patterns in visual data; Convert charts into insights,Industry Mentor,,,,
Module 3: Tableau Dashboards + Storytelling,Insight Writing with GenAI,Use GenAI to draft insight summaries; Generate narrative explanations from dashboards; Review and correct generated narratives; Refine insights for clear communication,Industry Mentor,,,,
Module 4: GenAI for Analytics Workflows + Basic Python,Statistics: Relationships in Data,Correlation to identify patterns between business variables like ad spend and sales;Positive and negative correlations and what they signal;Weak vs strong relationships and how to read them;Why correlation does not imply causation and how to avoid misleading business conclusions,Professor,,,,
