Module,Session Name,Sub Topics / Learning Objectives
Module 1: Foundations of Data,The AI Landscape and Computing Foundations,AI vs ML vs Generative AI; Industry use cases; Overview of computing systems; Hardware vs software; Programs and programming; Introduction to IDE and CLI
Module 1: Foundations of Data,Development Environment and Workflow,VS Code setup; Google Colab; Environment variables and secrets; Git and GitHub basics; Command Line Interface; File system navigation
Module 1: Foundations of Data,Python Fundamentals,"Variables; Data types (int, float, string, boolean); Operators; Input and output operations"
Module 1: Foundations of Data,Control Flow in Python,"Conditional statements (if, elif, else); Boolean logic; Nested conditions"
Module 1: Foundations of Data,Iteration and Looping Constructs,For loops; While loops; Iteration over sequences; Break and continue statements
Module 1: Foundations of Data,Functions and Introduction to Data Structures,Function definition; Parameters and arguments; Return values; Code modularity; Introduction to lists and dictionaries
Module 1: Foundations of Data,Core Data Structures in Python,"Lists (indexing, slicing, iteration); Dictionaries (key-value operations); Tuples; Sets basics; Selection of appropriate data structures"
Module 1: Foundations of Data,Introduction to JSON,JSON structure; Dictionaries to JSON; Parsing API responses; Nested JSON handling
Module 1: Foundations of Data,File Handling and Data Processing,File input/output operations; Reading and writing files; Context managers (with statement); Data processing workflows
Module 1: Foundations of Data,Numerical Computing with NumPy,NumPy arrays; Indexing and slicing; Element-wise operations; Reshaping arrays; Array transformations; Multi-dimensional arrays
Module 1: Foundations of Data,Data Analysis with Pandas: Data Loading and Inspection,"Pandas Series and DataFrames; Loading CSV data; Data inspection (head, info, describe); Data types"
Module 1: Foundations of Data,Data Selection and Filtering with Pandas,Column selection; Row filtering; Boolean indexing; Sorting datasets; Handling missing values
Module 1: Foundations of Data,Data Aggregation and Grouping,"Removing duplicates; Data type conversion; GroupBy operations; Aggregations (sum, mean, count); Data summarization"
Module 1: Foundations of Data,Data Visualization with Matplotlib,Line plots; Bar charts; Scatter plots; Labels and titles; Basic visualization principles; Introduction to Plotly
Module 1: Foundations of Data,SQL Fundamentals for Data Analysis,Relational databases; Tables and schema; SELECT statements; WHERE clause; ORDER BY; LIMIT; DISTINCT
Module 1: Foundations of Data,Data Integration and Querying Across Tools,"SQL joins; GROUP BY and HAVING; Aggregation queries; Pandas ↔ SQL mental model; Spreadsheet concepts (pivot tables, XLOOKUP)"
Module 1: Foundations of Data,APIs: The Agent's Hands; API Security & Ethics,Requests library; GET vs POST; Handling Status Codes; API Documentation reading; API Terms of Service (ToS); Rate limiting; Environment variables for keys
Module 1: Foundations of Data,EDA Workshop,Ingesting raw API data; Cleaning with Pandas; Visualizing insights; Simple Streamlit demo
Module 2: Classical ML,Introduction to Machine Learning and Problem Framing,Machine learning overview; Supervised vs unsupervised learning; Regression vs classification; Features and target variables; Mapping business problems to ML problems
Module 2: Classical ML,Data Preparation and Feature Engineering,"Handling missing values; Removing duplicates; Encoding categorical variables (label, one-hot); Feature scaling (standardization, normalization); Basic feature engineering (date, count features)"
Module 2: Classical ML,Model Training and Evaluation Workflow,Train/validation/test split; Baseline models; Model training process; Introduction to evaluation metrics; Metric tables for comparison; Imbalance
Module 2: Classical ML,Linear Regression and Model Interpretation,Linear regression model; Coefficients and interpretation; Predictions; Overfitting and underfitting
Module 2: Classical ML,"Master Class: The Mathematics Behind Learning: Lines, Curves & Errors","Linear Equations & The Equation of a Line:  y = mx + c. What the slope and intercept represent in real data. How Linear Regression is literally finding the best line through points. Residuals - the gap between the line and the point - as ""error.""

Calculus Intuition , Rate of Change & Minimisation : What a derivative means conceptually (how fast is something changing?). Why do we want to minimise errors? The idea of a minimum of a curve — where the slope becomes zero. Gradient descent as ""walking downhill""  no formulas required, only the picture.
"
Module 2: Classical ML,Regression Evaluation and Error Analysis,MAE; RMSE; R² score; Basic error interpretation
Module 2: Classical ML,Regularization Techniques,Ridge regression; Lasso regression; Regularization intuition; Bias-variance tradeoff; Hyperparameter tuning basics
Module 2: Classical ML,Logistic Regression for Classification,Logistic regression model; Probability outputs; Threshold-based classification
Module 2: Classical ML,Classification Metrics and Performance Evaluation,Accuracy; Precision; Recall; F1-score; Confusion matrix; Metric trade-offs; Business interpretation of metrics
Module 2: Classical ML,Model Validation and Data Issues,Cross-validation; Data leakage; Class imbalance; Resampling techniques; Reliable evaluation practices
Module 2: Classical ML,ROC Curve and Threshold Optimization,ROC curve; AUC score; True positive rate vs false positive rate; Threshold tuning; Model comparison using ROC
Module 2: Classical ML,Decision Trees,Tree structure; Splitting criteria; Gini impurity; Overfitting in trees; Model interpretation
Module 2: Classical ML,Ensemble Methods: Random Forest,Random Forest model; Feature importance; Model robustness; Comparison with decision trees
Module 2: Classical ML,Master Class Probability & Counting :The Mathematics of Uncertainty,"Probability Fundamentals :  Sample space, events, P(A), complement rule, addition rule P(A∪B), multiplication rule for independent events. Classical probability with coins, dice, cards. Conditional probability P(A|B)  how knowing one thing changes the probability of another.

Bayes' Theorem from First Principles : Derived step by step from conditional probability. One concrete real-world example worked out by hand (disease test or spam). The idea that prior belief + new evidence = updated belief. Stated as a formula, not a model.
"
Module 2: Classical ML,Clustering and Unsupervised Learning,K-Means clustering; Distance metrics; Elbow method; Cluster interpretation; Business use cases
Module 2: Classical ML,Model Selection and End-to-End Pipeline,Model comparison; Simplicity vs performance; Hyperparameter tuning (Grid Search); Final model selection
Module 3: GenAI & Agents,Core Concepts of Large Language Models,Overview of LLMs; Tokens and tokenization; Context windows; Temperature; Top-p sampling; Cost & latency basics
Module 3: GenAI & Agents,Prompt Engineering and Reasoning Strategies,Role prompting; Zero-shot prompting; Few-shot prompting; Chain-of-thought (basic)Prompt evaluation using small test sets
Module 3: GenAI & Agents,Fundamentals of AI Agents and Tool Usage,Single agent workflow; Tool usage (1–2 tools); JSON schemas; Retries and backoff; Hard stop conditions; Mini build (CSV Analyst / FAQ bot)
Module 3: GenAI & Agents,Structured Outputs and Tool Integration,Structured outputs (JSON); Output validation; Idempotent tool design
Module 3: GenAI & Agents,Master Class: Vectors & Linear Algebra  The Mathematics of Space and Direction,"Vectors from Scratch : What is a scalar vs a vector. Representing vectors as arrows and as coordinate lists. Vector addition, subtraction, scalar multiplication geometrically and algebraically. Magnitude using the Pythagorean theorem. Unit vectors.

Dot Product & Angle Between Vectors  : Formula: a·b = |a||b|cos(θ). Computing it by hand. What the result tells you  positive means the same direction, zero means perpendicular, negative means opposite. Cosine of an angle derived from the dot product formula step by step."
Module 3: GenAI & Agents,Embeddings and Semantic Retrieval Systems,Embeddings; Document chunking; Retrievers; Vector stores; Semantic search
Module 3: GenAI & Agents,Retrieval-Augmented Generation (RAG) Basics,RAG Workflow; Connecting Vector Stores to LLMs; Document-based Q&A; Handling context retrieval
Module 3: GenAI & Agents,"Master Class : Calculus Intuition - Change, Slope & Optimisation","The Idea of a Function & Rate of Change  What is a function (input → output). Plotting simple functions (y = x², y = x³). The slope of a straight line as rise/run. Average rate of change between two points. What happens as those two points get closer  the intuition of a derivative without formal limits.

Derivatives  What They Mean Geometrically  The derivative as the slope of a curve at a point. Tangent line vs secant line. Basic derivative rules: d/dx(xⁿ) = nxⁿ⁻¹, constant rule, sum rule  applied to polynomials only. Finding where a function is increasing, decreasing, or flat (derivative = 0). What a minimum and maximum look like.

Optimisation Intuition — What does ""minimise something"" mean mathematically? Finding the minimum of a parabola y = x² by setting dy/dx = 0. The idea of ""walking downhill""  why the slope tells you which direction to move. Chain rule mentioned conceptually  not computed.
"
Module 3: GenAI & Agents,Productionizing LLM Applications with FastAPI,FastAPI basics; API wrapping (/chat endpoint); Pydantic schemas; Env & secrets; Logging and request IDs; Deployment (Render / HF Spaces); Live prompt evaluation
Module 3: GenAI & Agents,Orchestration and Agent Workflow Design,LangGraph basics; Nodes and transitions; Retry handling; Simple agent flow design
