Module,Session Name,Sub Topics / Learning Objectives
Module 1: Foundations of Data,"The AI Landscape, Computing & Lab Setup","Understand AI context, career paths, developer environment, and core computing/programming concepts"
Module 1: Foundations of Data,"Developer Toolkit: Terminal, Git & Python Basics",Master developer toolkit (CLI + version control) and core Python programming building blocks
Module 1: Foundations of Data,Data Structues in Python,"Lists, Tuples, Sets, dictionaries - Basic opeartions, Functions "
Module 1: Foundations of Data,Python Control Flow & Automation,Learn how to automate logic using loops and conditions.
Module 1: Foundations of Data,Python Functions & Data Files,Write reusable code and work with structured data formats.
Module 1: Foundations of Data,"Master class: Numbers, Logic & Structure — The Mathematical Language of Data","Number Systems & Boolean Logic : How computers represent truth. Binary numbers, logical operators (AND, OR, NOT), truth tables, De Morgan's laws. Why this underlies every conditional and every data type.

Set Theory & Mathematical Structures : What is a set, subset, union, intersection, complement. How lists, dictionaries, and JSON are just applied set-theoretic structures. Venn diagrams. Mapping and functions in the mathematical sense (domain, codomain, range).
"
Module 1: Foundations of Data,Numerical & Tabular Data Foundations,Learn high-performance data handling with NumPy and Pandas.
Module 1: Foundations of Data,Data Cleaning & Preparation,"Prepare clean, reliable datasets for analysis and modeling."
Module 1: Foundations of Data,Query Thinking Across Tools,Understand how data querying logic translates across tools.
Module 1: Foundations of Data,Advanced Pandas & SQL Fundamentals,Learn aggregation logic across Pandas and SQL.
Module 1: Foundations of Data,Master class:From Tables to Relationships - The Mathematics of Data Organisation,"Coordinate Geometry & Visualisation Intuition :  The Cartesian plane. What it means to ""plot"" data. Why a scatter plot is just mapping two variables to (x, y) coordinates. Slope of a line  rise over run,  as the seed of everything in ML.

Basic Descriptive Statistics : Mean, median, mode, range, variance, standard deviation. What each tells you and what it hides. Why the mean lies when data is skewed. Real examples from datasets."
Module 1: Foundations of Data,SQL for Analysis & Data Retrieval,Master intermediate querying and joins for analytics.
Module 1: Foundations of Data,EDA & Visual Storytelling,Learn to explore data and communicate insights visually.
Module 1: Foundations of Data,APIs & Building AI Interfaces,Connect code to external services and build demo apps.
Module 1: Foundations of Data,"Module Review, Ethics & Best Practices",Consolidate learning and understand ethical data usage.
Module 2: Classical ML,"The ML Workflow, Data Prep & Reliability",Understand the end-to-end ML workflow and prepare reliable datasets.
Module 2: Classical ML,Avoiding ML Pitfalls & Model Generalization,Learn how to build models that generalize well to unseen data.
Module 2: Classical ML,Regression Models & Regularization,Master numeric prediction models and control model complexity.
Module 2: Classical ML,Evaluating Regression Performance,Learn to measure and diagnose regression model errors.
Module 2: Classical ML,"Master Class: The Mathematics Behind Learning: Lines, Curves & Errors","Linear Equations & The Equation of a Line:  y = mx + c. What the slope and intercept represent in real data. How Linear Regression is literally finding the best line through points. Residuals - the gap between the line and the point - as ""error.""

Calculus Intuition , Rate of Change & Minimisation : What a derivative means conceptually (how fast is something changing?). Why do we want to minimise errors? The idea of a minimum of a curve — where the slope becomes zero. Gradient descent as ""walking downhill""  no formulas required, only the picture.
"
Module 2: Classical ML,Classification Foundations,Learn core classification algorithms and decision logic.
Module 2: Classical ML,Ensemble Classification Models,Understand ensemble methods and variance reduction.
Module 2: Classical ML,Classification Metrics & Threshold Analysis,Measure and interpret classification performance correctly.
Module 2: Classical ML,Unsupervised Learning: Clustering,Discover structure in unlabeled data.
Module 2: Classical ML,Master Class Probability & Counting :The Mathematics of Uncertainty,"Probability Fundamentals :  Sample space, events, P(A), complement rule, addition rule P(A∪B), multiplication rule for independent events. Classical probability with coins, dice, cards. Conditional probability P(A|B)  how knowing one thing changes the probability of another.

Bayes' Theorem from First Principles : Derived step by step from conditional probability. One concrete real-world example worked out by hand (disease test or spam). The idea that prior belief + new evidence = updated belief. Stated as a formula, not a model.
"
Module 2: Classical ML,Dimensionality Reduction & Time Series,Simplify data and handle time-dependent modeling challenges.
Module 2: Classical ML,"Model Selection, Persistence & Module Review",Consolidate ML knowledge and prepare for GenAI concepts.
Module 3: GenAI & Agents,GenAI Foundations & Prompt Engineering,Understand how LLMs work and how to control them with effective prompts.
Module 3: GenAI & Agents,"LLM APIs, Integration & Ethics",Learn to programmatically interact with LLMs safely and responsibly.
Module 3: GenAI & Agents,RAG & Embedding Foundations,Understand how to ground LLMs using retrieval and semantic search.
Module 3: GenAI & Agents,Building a RAG Application,Build an end-to-end grounded GenAI application.
