"doc_id","title","category","content"
"KB001","Standard Delivery Timelines","delivery","Standard delivery for in-stock items takes 2 to 4 business days across Gurugram, Mumbai, Delhi, Noida, and Chennai. Delivery times may extend by 1 to 2 days during festival seasons or heavy rainfall."
"KB002","Express Delivery Option","delivery","Express delivery is available in Gurugram, Mumbai, and Delhi for an additional fee, guaranteeing next-day delivery for orders placed before 6 PM. Express delivery is not currently available in Noida or Chennai."
"KB003","Tracking a Delayed Order","delivery","If an order has not arrived within the estimated delivery window, customers can check real-time status using the tracking ID sent by SMS. Orders delayed by more than 48 hours beyond the estimate are automatically flagged for review."
"KB004","Delivery Address Changes","delivery","A delivery address can be changed only before the order has been dispatched from the warehouse. Once marked as out for delivery, the address cannot be modified and the order must be re-placed after cancellation."
"KB005","Return Window for Standard Items","returns","Most items can be returned within 7 days of delivery, provided the original packaging and tags are intact. Perishable goods and personal care items are not eligible for return once opened."
"KB006","Refund Processing Time","returns","Refunds for approved returns are processed within 5 to 7 business days after the returned item passes a quality check at the warehouse. Refunds are credited to the original payment method."
"KB007","Damaged Item on Arrival","returns","If an item arrives damaged, customers should report it within 48 hours with photos of the damage. Damaged-item reports are prioritized and typically resolved with a replacement or refund within 3 business days."
"KB008","Exchange Instead of Refund","returns","Customers may request a direct exchange instead of a refund for size or color mismatches, subject to stock availability at the same store. Exchanges follow the same 7-day return window as refunds."
"KB009","Store Reorder Policy Overview","inventory","Each store's inventory system flags a product for reorder when stock falls below 15% of its typical monthly demand. Reorder recommendations are reviewed by the store manager before a purchase order is placed."
"KB010","Handling Low-Confidence Reorder Predictions","inventory","When a reorder quantity prediction has low confidence due to sparse sales history, the recommendation is flagged for manual review rather than automatically approved. This is especially common for newly launched products."
"KB011","Seasonal Demand Adjustments","inventory","Reorder quantities are adjusted upward by an estimated seasonal factor ahead of major festivals and sale events, based on the previous year's demand spike in the same period for each store."
"KB012","Out-of-Stock Notifications","inventory","Customers can opt in to be notified by SMS or email when an out-of-stock item becomes available again at their preferred store. Notifications are sent within a few hours of the item being restocked."
"KB013","Store Hours in Gurugram","store_info","The Gurugram store operates from 10 AM to 9 PM on all days except public holidays, when hours are reduced to 11 AM to 6 PM."
"KB014","Store Hours in Mumbai and Chennai","store_info","The Mumbai and Chennai stores operate from 10 AM to 10 PM daily, with extended hours until midnight during major sale events."
"KB015","Accepted Payment Methods","payments","Accepted payment methods include credit and debit cards, UPI, net banking, and cash on delivery. Cash on delivery is capped at a maximum order value of 10,000 rupees for security reasons."
"KB016","Failed Payment Troubleshooting","payments","If a payment fails but the amount is deducted from the customer's account, the amount is automatically reversed within 5 to 7 business days. Customers can raise a support ticket if the reversal does not appear after 7 days."
"KB017","Customer Feedback Collection","feedback","Customer feedback is collected via a short survey sent after every delivery, covering delivery speed, product quality, and packaging condition. Feedback is aggregated weekly per store for the operations team."
"KB018","Handling Negative Feedback Trends","feedback","A store showing a sustained drop in average feedback score over two consecutive weeks is flagged for a operations review, covering delivery performance, stock accuracy, and staff responsiveness."
"KB019","Loyalty Program Overview","loyalty","Customers earn loyalty points on every purchase, redeemable against future orders. Points expire 12 months after being earned if not redeemed."
"KB020","Escalating a Customer Complaint","support","Complaints not resolved within 48 hours by the first-level support agent are automatically escalated to a store manager. Complaints involving safety concerns are escalated immediately, regardless of the 48-hour window."
