Module,Session Name,Sub Topics / Learning Objectives
Module 1: Foundations of Data,"AI, ML & GenAI Landscape","Recall and distinguish AI, ML and GenAI with concrete definitions; explain how they differ using real industry examples; map a given use case to the correct category"
Module 1: Foundations of Data,Python Fundamentals,"Identify and declare variables using correct data types; construct expressions using arithmetic and comparison operators; write and execute programs using input/output and f-strings in Colab"
Module 1: Foundations of Data,Control Flow & Decision Making,"Construct if/elif/else blocks to handle real decision scenarios; evaluate boolean expressions combining multiple conditions; trace execution through nested conditions and predict output"
Module 1: Foundations of Data,"Loops, Iteration & Repetitive Logic","Write for and while loops with correct termination conditions; apply break and continue to control loop flow; iterate over sequences and access elements by index"
Module 1: Foundations of Data,"Master class: Numbers, Logic & Structure — The Mathematical Language of Data","Number Systems & Boolean Logic: Binary numbers, logical operators (AND, OR, NOT), truth tables, De Morgan's laws. Set Theory & Mathematical Structures: sets, subsets, union, intersection, complement, Venn diagrams, mapping and functions (domain, codomain, range)"
Module 1: Foundations of Data,Writing Reusable Code with Functions,"Define and call functions with parameters and return values; explain how scope affects variable access; refactor repeated code blocks into reusable modular functions"
Module 1: Foundations of Data,Python Data Structures,"Create and perform operations on lists, dictionaries, tuples and sets; differentiate between mutable and immutable structures; select the appropriate data structure for a given problem"
Module 1: Foundations of Data,"File Handling, JSON & APIs","Read and write files safely using context managers; parse and generate JSON data; make API calls using requests, handle responses and apply ethical usage of API keys and rate limits"
Module 1: Foundations of Data,"NumPy: Numerical Foundation","Create and manipulate NumPy arrays using indexing and slicing; perform element-wise arithmetic and broadcasting operations without explicit loops; reshape and flatten arrays for downstream use"
Module 1: Foundations of Data,"Pandas: Loading, Inspection & Filtering","Load a CSV into a DataFrame and inspect its structure using head(), info() and describe(); filter rows using boolean conditions and loc/iloc; identify data quality issues from inspection output"
Module 1: Foundations of Data,"Pandas: Aggregation, Groupby & Merging","Group and aggregate data to answer business questions using groupby and agg; handle missing values by dropping or filling appropriately; merge and concatenate multiple DataFrames correctly"
Module 1: Foundations of Data,Data Visualization,"Create line, bar, scatter and histogram plots using Matplotlib; build basic interactive charts using Plotly; select the appropriate chart type based on the variable type and analytical goal"
Module 1: Foundations of Data,EDA & Business Thinking,"Execute a structured EDA on a raw dataset identifying distributions, outliers and correlations; interpret patterns and anomalies in data; connect data findings to business questions like funnel drop-off and retention"
Module 1: Foundations of Data,Master class:From Tables to Relationships - The Mathematics of Data Organisation,"Coordinate Geometry & Visualisation Intuition: Cartesian plane, scatter plots, slope of a line. Basic Descriptive Statistics: mean, median, mode, range, variance, standard deviation, skewness"
Module 1: Foundations of Data,SQL with MySQL Workbench,"Write SQL queries to filter, sort and group data in MySQL Workbench; join two or more tables using INNER, LEFT and RIGHT joins; choose the correct join type for a given multi-table scenario"
Module 1: Foundations of Data,Data Analysis with Spreadsheets,"Use VLOOKUP and XLOOKUP to retrieve values across sheets; build pivot tables to summarize and slice data; apply COUNTIF and conditional formatting to surface quick data insights"
Module 2: Classical ML,ML Workflow & Problem Framing,"Distinguish supervised and unsupervised learning and frame a business problem as the correct ML problem type; split data using train_test_split and evaluate using cross_val_score; justify metric selection based on the problem type"
Module 2: Classical ML,Data Preparation for ML,"Build an end-to-end preprocessing pipeline using sklearn Pipeline and ColumnTransformer; apply correct encoding and scaling strategies for different feature types; identify and prevent data leakage within a preprocessing workflow"
Module 2: Classical ML,"Master Class: The Mathematics Behind Learning: Lines, Curves & Errors","Linear Equations & The Equation of a Line: y = mx + c, residuals, error. Calculus Intuition: derivative, minimisation, gradient descent as walking downhill"
Module 2: Classical ML,Linear Regression,"Train a LinearRegression model using scikit-learn and generate predictions; evaluate model performance using MAE, RMSE and R²; interpret coefficients and diagnose overfitting by comparing train vs test performance"
Module 2: Classical ML,Regularization,"Apply Ridge and Lasso regression to reduce overfitting and compare with unregularized baseline; tune the alpha hyperparameter and observe its effect on coefficients; explain the bias-variance tradeoff in plain language"
Module 2: Classical ML,Logistic Regression,"Train a LogisticRegression model and interpret predicted probabilities using predict_proba(); adjust the classification threshold and explain its effect on predictions; distinguish binary and multiclass classification setups"
Module 2: Classical ML,Classification Metrics,"Compute and interpret all classification metrics using sklearn.metrics; analyze the confusion matrix to explain false positives and false negatives; evaluate the precision-recall tradeoff and select the right metric for a given business scenario"
Module 2: Classical ML,"Master Class Probability & Counting :The Mathematics of Uncertainty","Probability Fundamentals: sample space, events, conditional probability. Bayes' Theorem from First Principles with real-world examples"
Module 2: Classical ML,Decision Trees,"Train a DecisionTreeClassifier and visualize it using plot_tree; analyze overfitting by comparing train vs test accuracy across depth values; explain a prediction path from root to leaf in plain language"
Module 2: Classical ML,Random Forests & Ensemble Methods,"Train a RandomForestClassifier and extract feature importances to explain model behavior; compare random forest vs single decision tree on performance and interpretability; save and load a trained model using joblib"
Module 2: Classical ML,Model Validation & Leakage,"Implement k-fold and stratified k-fold cross-validation to produce reliable performance estimates; tune hyperparameters using GridSearchCV and interpret results; detect data leakage scenarios and design a leakage-free evaluation pipeline"
Module 2: Classical ML,"Clustering, Model Selection & Explainability","Run KMeans clustering and determine optimal k using the elbow method and silhouette score; compare multiple trained models using a structured metric table; explain model predictions and feature importance in plain business language"
Module 3: GenAI & Agents,LLM Fundamentals: How Language Models Work,"Recall and explain how LLMs generate text using tokens and context windows; interpret the effect of temperature and top-p on output variability; compare LLMs with traditional ML models in terms of how they learn and predict"
