ticket_id,received_date,channel,city,category,priority,ticket_text
TKT-1001,2025-08-04,email,Chennai,refund,high,"Ordered a wireless keyboard on 28 July, delivered cracked. I want a refund not a replacement. Order MRD-88213. Reach me at arun.k@example.com"
TKT-1002,2025-08-04,chat,Coimbatore,delivery,medium,"Where is my order? It says shipped since Friday but tracking has not moved at all."
TKT-1003,2025-08-05,email,Madurai,billing,high,"I was charged twice for the same order. Two debits of INR 4599 on my card. Please reverse one immediately. Call 9840012345"
TKT-1004,2025-08-05,chat,Chennai,how_to,low,"How do I change the delivery address on an order that has not shipped yet?"
TKT-1005,2025-08-06,email,Trichy,refund,medium,"Returned the item eleven days ago through your pickup service. Refund still not credited. Order MRD-88490."
TKT-1006,2025-08-06,phone,Salem,delivery,high,"Delivery agent marked the parcel delivered but nobody came to my address. I have been home all day."
TKT-1007,2025-08-07,email,Chennai,product_issue,medium,"The power bank stops charging at 80 percent. Bought it three weeks back. Is this a known defect?"
TKT-1008,2025-08-07,chat,Erode,how_to,low,"Can I use two coupon codes on the same order or only one?"
TKT-1009,2025-08-08,email,Tirunelveli,billing,high,"My invoice shows GST number missing. I need a corrected tax invoice for company reimbursement. Email me at priya.raman@example.com"
TKT-1010,2025-08-08,chat,Chennai,delivery,low,"Just checking if same day delivery is available in Velachery pincode 600042."
TKT-1011,2025-08-11,email,Vellore,refund,high,"This is the third time I am writing. Refund of INR 12750 pending for 26 days. Completely unacceptable service."
TKT-1012,2025-08-11,chat,Coimbatore,product_issue,medium,"Laptop stand arrived with one screw missing. Can you send just the screw instead of a full replacement?"
TKT-1013,2025-08-12,email,Chennai,account,medium,"I cannot log in. Password reset email never arrives. Tried three times today. My registered id is karthik99@example.com"
TKT-1014,2025-08-12,phone,Thanjavur,delivery,medium,"Parcel was returned to origin because the courier said address incomplete. I want it reshipped."
TKT-1015,2025-08-13,email,Madurai,product_issue,high,"The bluetooth speaker gets very hot within ten minutes of use. This feels like a safety issue, please advise urgently."
TKT-1016,2025-08-13,chat,Chennai,how_to,low,"Does the warranty cover accidental damage or only manufacturing defects?"
TKT-1017,2025-08-14,email,Hosur,billing,medium,"Applied a coupon FLAT200 at checkout but the discount did not reflect in the final amount charged."
TKT-1018,2025-08-14,chat,Coimbatore,account,low,"How do I delete my account and all my saved data permanently?"
TKT-1019,2025-08-18,email,Chennai,refund,medium,"Cancelled order MRD-89011 within the cancellation window but no refund confirmation received yet."
TKT-1020,2025-08-18,phone,Tiruppur,delivery,high,"Urgent, wedding gift needed by 20 August. Order placed 12 August with express shipping, still not dispatched."
TKT-1021,2025-08-19,email,Chennai,product_issue,medium,"Received the wrong colour. Ordered black, received white. Order MRD-89104. Contact 9003345678"
TKT-1022,2025-08-19,chat,Salem,how_to,low,"Is there a student discount programme and how do I verify my college id?"
TKT-1023,2025-08-20,email,Nagercoil,billing,high,"EMI option was shown at checkout but my statement shows a full one time debit instead of instalments."
TKT-1024,2025-08-20,chat,Chennai,delivery,medium,"Can I reschedule delivery to Saturday? Nobody is at home on weekdays."
TKT-1025,2025-08-21,email,Coimbatore,account,medium,"Two accounts got created with my number by mistake. Please merge them and keep order history."
TKT-1026,2025-08-21,chat,Madurai,refund,low,"What is the usual timeline for a refund to reach the bank account after approval?"
TKT-1027,2025-08-22,email,Chennai,product_issue,high,"The charger that came with the phone sparked when plugged in. I have stopped using it. This needs immediate attention."
TKT-1028,2025-08-22,phone,Karur,delivery,medium,"Courier keeps calling and asking me to collect from the hub. I paid for home delivery."
TKT-1029,2025-08-25,email,Chennai,billing,low,"Please share a consolidated invoice for all orders placed in July for my accounts team."
TKT-1030,2025-08-25,chat,Erode,how_to,low,"How many days do I have to raise a return request after delivery?"
TKT-1031,2025-08-26,email,Tirupur,refund,high,"Item was defective, returned and picked up on 14 August. Refund rejected saying item used. It was never used. Escalate this."
TKT-1032,2025-08-26,chat,Chennai,account,low,"Can I change the mobile number linked to my account without losing my order history?"
TKT-1033,2025-08-27,email,Ooty,delivery,medium,"Delivery not available to my pincode 643001 apparently. Is there any pickup point nearby?"
TKT-1034,2025-08-27,chat,Chennai,product_issue,medium,"Screen protector had bubbles on arrival. Minor issue but wanted to report it for quality."
TKT-1035,2025-08-28,email,Dindigul,billing,high,"Refund was processed as store credit without asking me. I want it back to my original payment method."
TKT-1036,2025-08-28,phone,Chennai,delivery,low,"Just wanted to confirm the delivery slot for tomorrow, no complaint."
TKT-1037,2025-08-29,email,Kanchipuram,account,medium,"Getting order confirmation emails for orders I never placed. Is my account compromised? Please check urgently."
TKT-1038,2025-08-29,chat,Coimbatore,how_to,low,"Where can I download my past invoices from the website?"
TKT-1039,2025-09-01,email,Chennai,refund,medium,"Partial refund received, INR 800 short of the order value. Order MRD-89550. Please explain the deduction."
TKT-1040,2025-09-01,chat,Madurai,product_issue,low,"The product description said 2 year warranty but the box says 1 year. Which one is correct?"
